"Source:","D:\SCHEIDLER_IT_CLOUD\_SmartHome yourself\KiCad-Projekte\Sensor_Pyramide\SensorPyramide\SensorPyramide.sch"
"Date:","10.12.2020 23:49:18"
"Tool:","Eeschema (5.1.5)-3"
"Component Count:","11"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"J1","MQ-2","digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","TE Connectivity AMP Connectors",""
"J2","V-IN (5V)","digikey-footprints:Term_Block_1x2_P5.08MM","http://www.on-shore.com/wp-content/uploads/OSTTCXX2162.pdf","On Shore Technology Inc.",""
"J3","HC-SR501","digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","TE Connectivity AMP Connectors",""
"J4","Lightlevel Sensor","digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","TE Connectivity AMP Connectors",""
"J5","Sound-Sensor","digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","TE Connectivity AMP Connectors",""
"J6","DHT-22","digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","TE Connectivity AMP Connectors",""
"J7","NeoPixel Ring","digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","TE Connectivity AMP Connectors",""
"J8","Piezo Beeper","digikey-footprints:PinHeader_1x2_P2.54mm_Drill1.02mm","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","Molex",""
"R1","100R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R2","10K","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"U1","NodeMCU_1.0_(ESP-12E)","ESP8266:NodeMCU1.0(12-E)","","",""
